tiempo,mu
0,0.00102
6.0497E-05,0.00102
0.000120993,0.00101
0.0001752,0.00101
0.000229407,0.00101
0.000283614,0.00101
0.000337821,0.00101
0.00040558,0.001
0.000473339,0.001
0.000558037,0.000997
0.000642735,0.000993
0.000748608,0.000989
0.000854481,0.000985
0.000986823,0.00098
0.001108822,0.000975
0.00123082,0.000971
0.001345268,0.000966
0.001459716,0.000962
0.001574164,0.000958
0.001717224,0.000952
0.001896049,0.000945
0.00211958,0.000936
0.002343111,0.000927
0.002622525,0.000916
0.002971792,0.000901
0.003321059,0.000886
0.003585316,0.000874
0.00378516,0.000866
0.003943146,0.000859
0.004085791,0.000853
0.004228436,0.000847
0.00437108,0.000842
0.004513725,0.000837
0.004656369,0.000831
0.004799014,0.000826
0.004941658,0.000821
0.005084303,0.000816
0.005226947,0.000811
0.005356204,0.000807
0.005465259,0.000804
0.005574314,0.0008
0.005683369,0.000797
0.005792424,0.000793
0.005928742,0.000789
0.006065061,0.000785
0.006201379,0.000781
0.006337698,0.000777
0.006474017,0.000774
0.006610335,0.00077
0.006746654,0.000766
0.006882973,0.000763
0.007019291,0.00076
0.00715561,0.000756
0.007291929,0.000753
0.007428247,0.00075
0.007564566,0.000747
0.007734964,0.000743
0.007905363,0.00074
0.008075761,0.000736
0.008246159,0.000733
0.008393761,0.000731
0.008541364,0.000728
0.008673328,0.000726
0.008805293,0.000724
0.008937258,0.000722
0.009057052,0.00072
0.00916068,0.000719
0.009264308,0.000717
0.009367935,0.000716
0.009471563,0.000715
0.009575191,0.000714
0.009704725,0.000714
0.00983426,0.000713
0.009963794,0.000712
0.010093329,0.000712
0.010222864,0.000712
0.010352398,0.000712
0.010481933,0.000712
0.010611467,0.000712
0.010773386,0.000713
0.010935304,0.000714
0.011097222,0.000715
0.01125914,0.000717
0.011421059,0.000719
0.011571735,0.00072
0.011722412,0.000723
0.011873088,0.000725
0.012023765,0.000728
0.012162772,0.00073
0.012274412,0.000732
0.012386052,0.000735
0.012497692,0.000737
0.012609332,0.00074
0.012720972,0.000743
0.012832612,0.000746
0.012944252,0.00075
0.013055892,0.000753
0.013195442,0.000758
0.013369879,0.000764
0.013508083,0.000769
0.01362453,0.000774
0.013740978,0.000778
0.013857425,0.000783
0.013956287,0.000787
0.01405515,0.000792
0.014154013,0.000796
0.014252875,0.000801
0.014351738,0.000805
0.0144506,0.00081
0.014574178,0.000816
0.014728651,0.000824
0.014883124,0.000832
0.015037596,0.00084
0.015192069,0.000848
0.015317219,0.000854
0.015442369,0.000861
0.015567519,0.000868
0.015692669,0.000875
0.015817819,0.000882
0.015974256,0.000891
0.016112475,0.000898
0.016250693,0.000906
0.016388912,0.000914
0.01652713,0.000922
0.016665348,0.00093
0.016803567,0.000938
0.016941785,0.000947
0.017080004,0.000955
0.017205225,0.000962
0.017300807,0.000968
0.017396388,0.000974
0.01749197,0.000979
0.017587552,0.000985
0.017683133,0.000991
0.017778715,0.000997
0.017874297,0.001
0.017969878,0.00101
0.01806546,0.00102
0.018161042,0.00102
0.018256624,0.00103
0.018352205,0.00103
0.018447787,0.00104
0.018543369,0.00105
0.01863895,0.00105
0.018734532,0.00106
0.018854009,0.00107
0.018958268,0.00107
0.019047776,0.00108
0.019137285,0.00109
0.019226794,0.00109
0.019316303,0.0011
0.019405811,0.00111
0.019517697,0.00111
0.019629583,0.00112
0.01976944,0.00113
0.019909298,0.00114
0.020049155,0.00115
0.020189012,0.00116
0.020328869,0.00117
0.020468727,0.00118
0.020608584,0.0012
0.020739914,0.00121
0.020871244,0.00122
0.0209846,0.00122
0.02108767,0.00123
0.02117727,0.00124
0.021242766,0.00124
0.021303372,0.00125
0.021360082,0.00125
0.021416792,0.00126
0.021473503,0.00126
0.021530213,0.00127
0.021601101,0.00127
0.021671989,0.00128
0.021742876,0.00128
0.021813764,0.00129
0.021884652,0.00129
0.02195554,0.0013
0.02204415,0.00131
0.022132759,0.00131
0.022221369,0.00132
0.022309979,0.00133
0.022398589,0.00134
0.022487199,0.00134
0.022575808,0.00135
0.022664418,0.00136
0.022753028,0.00136
0.022841638,0.00137
0.022930248,0.00138
0.023018857,0.00138
0.023107467,0.00139
0.023196077,0.0014
0.023284687,0.0014
0.023395449,0.00141
0.023506211,0.00142
0.023644664,0.00143
0.02377205,0.00144
0.023888977,0.00145
0.024005903,0.00146
0.02412283,0.00146
0.024239757,0.00147
0.024356684,0.00148
0.02447361,0.00149
0.024590537,0.0015
0.024736695,0.0015
0.024882854,0.00151
0.025065552,0.00153
0.02522776,0.00153
0.025377136,0.00154
0.025511359,0.00155
0.025645582,0.00156
0.025779805,0.00157
0.025914028,0.00157
0.026081807,0.00158
0.026249585,0.00159
0.026417364,0.0016
0.026585143,0.00161
0.02673365,0.00162
0.026882158,0.00162
0.027018772,0.00163
0.027155387,0.00164
0.027292002,0.00164
0.027428616,0.00165
0.027565231,0.00165
0.027735999,0.00166
0.027906768,0.00167
0.028077536,0.00167
0.028248304,0.00168
0.028419073,0.00169
0.028589841,0.00169
0.028760609,0.0017
0.028931378,0.0017
0.029085215,0.00171
0.029239053,0.00171
0.02939289,0.00172
0.029546728,0.00172
0.029700565,0.00173
0.029854402,0.00173
0.029994627,0.00173
0.030134851,0.00174
0.030275076,0.00174
0.0304153,0.00174
0.030555525,0.00175
0.030695749,0.00175
0.030835974,0.00175
0.030976198,0.00175
0.031116423,0.00175
0.031256647,0.00176
0.031396872,0.00176
0.031537096,0.00176
0.031712377,0.00176
0.031887658,0.00176
0.032062938,0.00176
0.032238219,0.00176
0.0324135,0.00176
0.03258878,0.00176
0.032744295,0.00176
0.032899809,0.00176
0.033055323,0.00176
0.033210838,0.00175
0.033366352,0.00175
0.033560745,0.00175
0.033755138,0.00174
0.033911364,0.00174
0.034067589,0.00174
0.034223815,0.00173
0.034380041,0.00173
0.034536267,0.00172
0.034692493,0.00172
0.034848718,0.00171
0.035004944,0.00171
0.03516117,0.00171
0.035317396,0.0017
0.035473622,0.0017
0.035629847,0.00169
0.03582513,0.00168
0.036020412,0.00168
0.036215694,0.00167
0.036391005,0.00166
0.036566317,0.00166
0.036741628,0.00165
0.03691694,0.00164
0.037092251,0.00164
0.037251844,0.00163
0.037411437,0.00162
0.037571031,0.00162
0.03772086,0.00161
0.037870689,0.0016
0.038020519,0.0016
0.038170348,0.00159
0.038320177,0.00158
0.038470007,0.00158
0.038619836,0.00157
0.038807123,0.00156
0.03899441,0.00155
0.039181697,0.00154
0.039335679,0.00154
0.039489662,0.00153
0.039611951,0.00152
0.039734239,0.00152
0.039856528,0.00151
0.039978816,0.00151
0.040101105,0.0015
0.040223393,0.0015
0.040335679,0.00149
0.040447965,0.00149
0.04056025,0.00148
0.040672536,0.00148
0.040784822,0.00147
0.040897108,0.00147
0.041009394,0.00146
0.041121679,0.00146
0.041233965,0.00145
0.041346251,0.00145
0.041458537,0.00144
0.041570822,0.00144
0.04171118,0.00143
0.041851537,0.00142
0.041991894,0.00141
0.042132251,0.00141
0.042264096,0.0014
0.04239594,0.00139
0.042527784,0.00139
0.042659629,0.00138
0.042791473,0.00137
0.042923317,0.00137
0.043055162,0.00136
0.043187006,0.00135
0.04331885,0.00134
0.043440708,0.00134
0.043545487,0.00133
0.043650267,0.00133
0.043755046,0.00132
0.043853468,0.00132
0.043951889,0.00131
0.044050311,0.00131
0.044173337,0.0013
0.044327121,0.00129
0.04451935,0.00128
0.044691924,0.00127
0.044864499,0.00126
0.045001351,0.00126
0.045138204,0.00125
0.045267732,0.00124
0.045397259,0.00123
0.045526787,0.00123
0.045688697,0.00122
0.045850606,0.00121
0.045982469,0.00121
0.046103536,0.0012
0.046201962,0.0012
0.046300388,0.00119
0.046398815,0.00119
0.046491723,0.00118
0.046584632,0.00118
0.046677541,0.00117
0.04677045,0.00117
0.046863359,0.00116
0.046979495,0.00116
0.047095631,0.00115
0.047240802,0.00115
0.047385972,0.00114
0.047531142,0.00113
0.047676312,0.00113
0.047857775,0.00112
0.048039237,0.00111
0.048202006,0.0011
0.048336293,0.0011
0.04847058,0.00109
0.048604868,0.00109
0.048739155,0.00108
0.048873443,0.00108
0.049041302,0.00107
0.049251126,0.00107
0.04946095,0.00106
0.049670775,0.00105
0.04986452,0.00105
0.050058266,0.00104
0.050252012,0.00104
0.050445758,0.00103
0.050601592,0.00103
0.050757427,0.00102
0.050913261,0.00102
0.051069095,0.00101
0.051216211,0.00101
0.051400106,0.00101
0.051573212,0.001
0.051746318,0.001
0.051919424,0.000997
0.052135807,0.000993
0.052352189,0.000989
0.052622667,0.000984
0.052960765,0.000978
0.053264502,0.000974
0.053568238,0.000969
0.053947908,0.000964
0.054422496,0.000959
0.054785614,0.000955
0.055059788,0.000952
0.055333962,0.000949
0.055608136,0.000946
0.05588231,0.000943
0.056156484,0.00094
0.056430658,0.000936
0.056773375,0.000932
0.057085724,0.000929
0.057398073,0.000925
0.057788509,0.000921
0.058178945,0.000916
0.058364878,0.000914
0.058550812,0.000912
0.058712262,0.00091
0.058861609,0.000908
0.059010955,0.000906
0.059160302,0.000904
0.059346986,0.000901
0.059533669,0.000898
0.059720353,0.000895
0.059867782,0.000893
0.060015211,0.000891
0.06016264,0.000888
0.060310068,0.000886
0.060494354,0.000883
0.06067864,0.000879
0.060908998,0.000875
0.061139356,0.000871
0.061305625,0.000867
0.061428353,0.000865
0.061542101,0.000862
0.061646656,0.00086
0.061751212,0.000858
0.061855768,0.000855
0.061960323,0.000853
0.062064879,0.000851
0.062169435,0.000848
0.062273991,0.000846
0.062378546,0.000843
0.062509241,0.00084
0.062608475,0.000838
0.062696811,0.000836
0.062774761,0.000834
0.062852711,0.000832
0.062930661,0.00083
0.063008611,0.000829
0.063106048,0.000826
0.063203485,0.000824
0.063325282,0.000821
0.063477528,0.000817
0.063601767,0.000814
0.063726005,0.000811
0.063823188,0.000809
0.063909865,0.000806
0.063996541,0.000804
0.064083218,0.000802
0.064169895,0.0008
0.064256571,0.000797
0.064343248,0.000795
0.064425297,0.000793
0.064507347,0.000791
0.064589397,0.000789
0.064671446,0.000786
0.064753496,0.000784
0.064835546,0.000782
0.064917595,0.00078
0.064999645,0.000777
0.065081695,0.000775
0.065163744,0.000773
0.065245794,0.00077
0.065327843,0.000768
0.065409893,0.000765
0.065491943,0.000763
0.065573992,0.000761
0.065676554,0.000758
0.065779117,0.000755
0.065881679,0.000752
0.065978853,0.000749
0.066076027,0.000746
0.066173201,0.000743
