date,tiempo,mu
01/01/2001,0,0.00102
02/01/2001,6.05E-05,0.00102
03/01/2001,0.000120993,0.00101
04/01/2001,0.0001752,0.00101
05/01/2001,0.000229407,0.00101
06/01/2001,0.000283614,0.00101
07/01/2001,0.000337821,0.00101
08/01/2001,0.00040558,0.001
09/01/2001,0.000473339,0.001
10/01/2001,0.000558037,0.000997
11/01/2001,0.000642735,0.000993
12/01/2001,0.000748608,0.000989
13/01/2001,0.000854481,0.000985
14/01/2001,0.000986823,0.00098
15/01/2001,0.001108822,0.000975
16/01/2001,0.00123082,0.000971
17/01/2001,0.001345268,0.000966
18/01/2001,0.001459716,0.000962
19/01/2001,0.001574164,0.000958
20/01/2001,0.001717224,0.000952
21/01/2001,0.001896049,0.000945
22/01/2001,0.00211958,0.000936
23/01/2001,0.002343111,0.000927
24/01/2001,0.002622525,0.000916
25/01/2001,0.002971792,0.000901
26/01/2001,0.003321059,0.000886
27/01/2001,0.003585316,0.000874
28/01/2001,0.00378516,0.000866
29/01/2001,0.003943146,0.000859
30/01/2001,0.004085791,0.000853
31/01/2001,0.004228436,0.000847
01/02/2001,0.00437108,0.000842
02/02/2001,0.004513725,0.000837
03/02/2001,0.004656369,0.000831
04/02/2001,0.004799014,0.000826
05/02/2001,0.004941658,0.000821
06/02/2001,0.005084303,0.000816
07/02/2001,0.005226947,0.000811
08/02/2001,0.005356204,0.000807
09/02/2001,0.005465259,0.000804
10/02/2001,0.005574314,0.0008
11/02/2001,0.005683369,0.000797
12/02/2001,0.005792424,0.000793
13/02/2001,0.005928742,0.000789
14/02/2001,0.006065061,0.000785
15/02/2001,0.006201379,0.000781
16/02/2001,0.006337698,0.000777
17/02/2001,0.006474017,0.000774
18/02/2001,0.006610335,0.00077
19/02/2001,0.006746654,0.000766
20/02/2001,0.006882973,0.000763
21/02/2001,0.007019291,0.00076
22/02/2001,0.00715561,0.000756
23/02/2001,0.007291929,0.000753
24/02/2001,0.007428247,0.00075
25/02/2001,0.007564566,0.000747
26/02/2001,0.007734964,0.000743
27/02/2001,0.007905363,0.00074
28/02/2001,0.008075761,0.000736
01/03/2001,0.008246159,0.000733
02/03/2001,0.008393761,0.000731
03/03/2001,0.008541364,0.000728
04/03/2001,0.008673328,0.000726
05/03/2001,0.008805293,0.000724
06/03/2001,0.008937258,0.000722
07/03/2001,0.009057052,0.00072
08/03/2001,0.00916068,0.000719
09/03/2001,0.009264308,0.000717
10/03/2001,0.009367935,0.000716
11/03/2001,0.009471563,0.000715
12/03/2001,0.009575191,0.000714
13/03/2001,0.009704725,0.000714
14/03/2001,0.00983426,0.000713
15/03/2001,0.009963794,0.000712
16/03/2001,0.010093329,0.000712
17/03/2001,0.010222864,0.000712
18/03/2001,0.010352398,0.000712
19/03/2001,0.010481933,0.000712
20/03/2001,0.010611467,0.000712
21/03/2001,0.010773386,0.000713
22/03/2001,0.010935304,0.000714
23/03/2001,0.011097222,0.000715
24/03/2001,0.01125914,0.000717
25/03/2001,0.011421059,0.000719
26/03/2001,0.011571735,0.00072
27/03/2001,0.011722412,0.000723
28/03/2001,0.011873088,0.000725
29/03/2001,0.012023765,0.000728
30/03/2001,0.012162772,0.00073
31/03/2001,0.012274412,0.000732
01/04/2001,0.012386052,0.000735
02/04/2001,0.012497692,0.000737
03/04/2001,0.012609332,0.00074
04/04/2001,0.012720972,0.000743
05/04/2001,0.012832612,0.000746
06/04/2001,0.012944252,0.00075
07/04/2001,0.013055892,0.000753
08/04/2001,0.013195442,0.000758
09/04/2001,0.013369879,0.000764
10/04/2001,0.013508083,0.000769
11/04/2001,0.01362453,0.000774
12/04/2001,0.013740978,0.000778
13/04/2001,0.013857425,0.000783
14/04/2001,0.013956287,0.000787
15/04/2001,0.01405515,0.000792
16/04/2001,0.014154013,0.000796
17/04/2001,0.014252875,0.000801
18/04/2001,0.014351738,0.000805
19/04/2001,0.0144506,0.00081
20/04/2001,0.014574178,0.000816
21/04/2001,0.014728651,0.000824
22/04/2001,0.014883124,0.000832
23/04/2001,0.015037596,0.00084
24/04/2001,0.015192069,0.000848
25/04/2001,0.015317219,0.000854
26/04/2001,0.015442369,0.000861
27/04/2001,0.015567519,0.000868
28/04/2001,0.015692669,0.000875
29/04/2001,0.015817819,0.000882
30/04/2001,0.015974256,0.000891
01/05/2001,0.016112475,0.000898
02/05/2001,0.016250693,0.000906
03/05/2001,0.016388912,0.000914
04/05/2001,0.01652713,0.000922
05/05/2001,0.016665348,0.00093
06/05/2001,0.016803567,0.000938
07/05/2001,0.016941785,0.000947
08/05/2001,0.017080004,0.000955
09/05/2001,0.017205225,0.000962
10/05/2001,0.017300807,0.000968
11/05/2001,0.017396388,0.000974
12/05/2001,0.01749197,0.000979
13/05/2001,0.017587552,0.000985
14/05/2001,0.017683133,0.000991
15/05/2001,0.017778715,0.000997
16/05/2001,0.017874297,0.001
17/05/2001,0.017969878,0.00101
18/05/2001,0.01806546,0.00102
19/05/2001,0.018161042,0.00102
20/05/2001,0.018256624,0.00103
21/05/2001,0.018352205,0.00103
22/05/2001,0.018447787,0.00104
23/05/2001,0.018543369,0.00105
24/05/2001,0.01863895,0.00105
25/05/2001,0.018734532,0.00106
26/05/2001,0.018854009,0.00107
27/05/2001,0.018958268,0.00107
28/05/2001,0.019047776,0.00108
29/05/2001,0.019137285,0.00109
30/05/2001,0.019226794,0.00109
31/05/2001,0.019316303,0.0011
01/06/2001,0.019405811,0.00111
02/06/2001,0.019517697,0.00111
03/06/2001,0.019629583,0.00112
04/06/2001,0.01976944,0.00113
05/06/2001,0.019909298,0.00114
06/06/2001,0.020049155,0.00115
07/06/2001,0.020189012,0.00116
08/06/2001,0.020328869,0.00117
09/06/2001,0.020468727,0.00118
10/06/2001,0.020608584,0.0012
11/06/2001,0.020739914,0.00121
12/06/2001,0.020871244,0.00122
13/06/2001,0.0209846,0.00122
14/06/2001,0.02108767,0.00123
15/06/2001,0.02117727,0.00124
16/06/2001,0.021242766,0.00124
17/06/2001,0.021303372,0.00125
18/06/2001,0.021360082,0.00125
19/06/2001,0.021416792,0.00126
20/06/2001,0.021473503,0.00126
21/06/2001,0.021530213,0.00127
22/06/2001,0.021601101,0.00127
